run	subcxi	event	id	multi	a	b	c	alpha	beta	gamma	indby	phoen	bmdv	bmbw	npeak	prorad	detdx	detdy	reslim	nref	nsref	niref	o1	o2	o3	o4	o5	o6	o7	o8	o9	/LCLS/machineTime	/LCLS/machineTimeNanoSeconds	/LCLS/fiducial	/cheetah/frameNumber	row	col	chiprow	chipframe
105	1	3931	0105013931	1	12.977780	23.169519	30.231581	89.175148	90.796532	89.769524	mosflm-comb-latt-nocell-retry-multi-refine	9469.816406	0.000000	0.000000	201	0.010030	-0.030000	-0.036000	1.410000	11595	0	41	0.064722	-0.037191	0.019148	0.019865	0.017357	-0.034166	0.009498	0.025358	0.019009	1506768256	770946112	42006	26007	71	204	71	26007
105	1	4343	0105014343	1	13.067810	22.865761	31.053570	89.094299	90.988770	90.551483	mosflm-comb-latt-nocell-retry-multi-refine	9459.896484	0.000000	0.000000	338	0.028380	0.027000	0.015000	2.110000	26643	0	257	0.043030	0.015074	-0.061477	0.012934	0.037799	0.017811	0.025097	-0.015351	0.013116	1506768256	259332496	45780	26699	73	164	73	26699
105	1	4401	0105014401	1	12.980890	22.628420	30.397890	89.163742	89.245392	89.930672	mosflm-comb-latt-nocell-retry-multi-refine	9471.474609	0.000000	0.000000	93	0.008530	-0.008000	0.021000	1.070000	9668	0	37	0.003311	0.076759	0.005722	-0.042042	0.002763	-0.013348	-0.009613	-0.002359	0.031379	1506768256	93039008	46080	26799	73	264	73	26799
105	1	4709	0105014709	1	13.044840	22.413700	31.773161	89.106819	89.774590	90.510033	mosflm-comb-latt-nocell-retry-multi-refine	9467.166992	0.000000	0.000000	183	0.012680	0.046000	0.014000	1.370000	14896	0	62	-0.044707	-0.060856	0.013226	-0.030173	0.026027	0.020084	-0.014009	0.004402	-0.027842	1506768256	628438272	48072	27203	74	55	74	27203
105	1	4835	0105014835	1	13.083170	22.560539	31.020550	89.027863	90.170288	90.371078	mosflm-comb-latt-nocell-retry-multi-refine	9468.608398	0.000000	0.000000	40	0.003070	0.003000	0.008000	1.350000	3603	0	8	0.076278	0.002521	-0.004209	-0.001884	0.041961	-0.014181	0.001459	0.009852	0.030665	1506768256	180193984	49710	27447	75	188	75	27447
105	1	4947	0105014947	2	12.887820	22.658480	31.102079	89.007668	90.759209	89.767731	mosflm-comb-latt-nocell-retry-multi-refine	9471.487305	0.000000	0.000000	157	0.009340	-0.003000	-0.042000	1.170000	10634	0	59	0.020952	0.054977	0.050599	0.023386	0.019966	-0.031668	-0.026005	0.017386	-0.007465	1506768256	305623296	50115	27582	75	323	75	27582
105	1	5021	0105015021	1	12.942690	22.671740	30.749390	89.153717	90.740417	90.252502	mosflm-comb-latt-nocell-retry-multi-refine	9454.704102	0.000000	0.000000	59	0.001880	0.012000	-0.006000	1.400000	2144	0	2	-0.074121	-0.020862	0.006448	0.012259	-0.041260	0.009657	0.000079	0.007919	0.031548	1506768256	815305856	51378	27707	76	268	76	27707
105	1	5074	0105015074	1	13.054880	22.380501	30.841299	89.124763	90.527611	89.891083	mosflm-comb-latt-nocell-retry-multi-refine	9469.914062	0.000000	0.000000	41	0.002510	-0.026000	0.017000	1.210000	2870	0	7	0.056417	-0.028585	0.043221	0.024790	-0.006248	-0.036652	0.012427	0.029693	0.003948	1506768256	373890464	51579	27774	76	201	76	27774
105	1	5341	0105015341	1	13.060720	22.726320	31.112129	89.013519	90.507591	90.591469	mosflm-comb-latt-nocell-retry-multi-refine	9467.065430	0.000000	0.000000	218	0.013750	0.010000	-0.002000	1.540000	16110	0	129	-0.028646	-0.061223	-0.035979	0.037985	-0.021545	0.005465	-0.011169	-0.011499	0.027866	1506768256	535024928	53796	28220	77	244	77	28220
105	1	5425	0105015425	1	13.067010	22.836109	30.942690	89.148613	90.079887	89.989220	mosflm-comb-latt-nocell-retry-multi-refine	9470.927734	0.000000	0.000000	76	0.003750	0.004000	0.002000	1.320000	4407	0	26	-0.010390	0.075760	0.003015	0.010025	0.003058	-0.042523	-0.031269	-0.003958	-0.007161	1506768256	186933856	55110	28374	78	336	78	28374
